"Table 1a: Estimated population by sex, single year of age and 2011 Data Zone area, and council area: 30 June 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area code,Area name,Council area,All ages,,,PERSONS,,,,,,,,,,,,PERSONS,,,,,,,,,,,,,PERSONS,,,,,,,,,,,,PERSONS,,,,,,,,,,,,PERSONS,,,,,,,,,,,,PERSONS,,,,,,,,,,,,PERSONS,,,,,,,,,,,,,,,,
,,,,,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90+
S01010228,"Roystonhill, Blochairn, and Provanmill - 01",Glasgow City,819,,6,9,7,8,13,12,5,10,8,9,8,11,11,6,3,6,4,9,7,8,6,9,1,8,14,7,17,23,7,11,17,11,10,8,20,14,20,17,9,18,12,3,10,5,4,3,8,12,13,17,20,16,11,11,5,13,8,13,7,10,10,11,9,5,2,6,7,4,11,6,4,6,9,7,8,6,13,13,5,9,2,5,6,8,7,6,3,3,4,3,13
S01010229,"Roystonhill, Blochairn, and Provanmill - 02",Glasgow City,1305,,14,16,13,18,16,20,13,10,16,9,10,15,8,19,12,22,14,22,20,12,16,17,12,15,18,19,28,25,25,35,24,25,30,20,25,13,23,15,19,23,15,24,19,14,16,12,21,22,30,26,21,16,16,18,21,8,19,21,22,20,21,11,19,11,12,13,10,7,7,9,8,4,7,9,5,4,4,3,9,3,6,5,2,3,3,0,2,0,0,0,1
S01010230,"Roystonhill, Blochairn, and Provanmill - 03",Glasgow City,1045,,32,21,23,18,33,12,20,17,16,7,3,10,4,0,3,3,0,7,5,10,5,6,13,12,13,13,14,21,31,26,25,25,27,27,20,37,24,16,27,7,28,27,17,12,11,30,22,10,3,11,13,9,16,19,6,6,6,8,2,12,8,9,12,6,9,0,12,4,8,9,10,6,5,5,2,0,3,6,6,1,6,3,5,2,0,1,1,3,1,0,1
S01010231,"Roystonhill, Blochairn, and Provanmill - 04",Glasgow City,897,,13,11,16,13,16,16,21,16,12,10,3,7,10,19,13,5,6,7,10,6,6,8,13,11,16,12,19,22,15,18,19,24,22,9,20,4,15,11,20,11,9,11,15,6,15,10,17,8,15,13,15,8,10,8,12,14,17,15,12,12,5,6,7,9,6,3,3,5,3,6,4,5,10,5,4,7,6,6,7,2,3,3,2,0,1,3,1,2,3,1,2
S01010232,"Roystonhill, Blochairn, and Provanmill - 05",Glasgow City,1041,,10,14,4,14,13,14,14,15,25,21,7,13,13,14,14,8,16,4,16,17,17,19,19,19,9,14,33,21,26,22,31,22,19,5,15,13,19,15,9,23,20,5,10,21,15,20,14,15,21,11,24,15,16,15,15,11,17,11,11,7,9,7,3,5,3,13,7,10,14,3,4,6,5,4,2,4,1,0,1,1,0,0,1,1,1,0,0,3,0,1,2
S01010233,"Roystonhill, Blochairn, and Provanmill - 06",Glasgow City,874,,14,20,10,5,10,13,19,15,13,23,15,11,18,13,15,13,19,8,8,11,9,3,18,13,9,27,13,19,11,19,19,4,11,20,20,25,9,15,11,15,15,9,11,9,14,9,15,9,9,12,11,15,11,11,12,3,4,6,11,9,9,5,7,3,3,5,5,6,3,4,3,3,2,4,10,5,2,4,1,1,2,3,2,3,1,0,5,0,0,2,3
S01010234,Dennistoun North - 01,Glasgow City,1174,,5,7,11,11,7,14,13,4,10,10,9,8,6,9,3,8,5,6,8,6,6,19,20,21,25,38,32,37,37,58,65,44,36,41,37,31,34,27,25,27,19,17,11,11,13,9,11,5,16,11,11,14,7,5,10,9,9,7,8,5,9,2,4,4,6,10,5,6,2,6,8,3,4,3,8,6,5,7,5,4,3,6,4,5,0,5,0,5,3,1,7
S01010235,Dennistoun North - 02,Glasgow City,1066,,13,5,5,3,10,5,10,12,2,9,2,3,0,1,4,2,2,2,6,25,33,49,68,65,58,70,49,76,56,33,26,27,47,16,20,11,8,10,4,6,3,1,1,6,8,14,11,12,10,3,2,2,2,4,5,7,4,3,4,7,3,4,2,1,1,1,3,0,1,1,4,4,2,0,1,2,2,8,3,3,3,7,4,4,2,7,3,7,10,1,10
S01010236,Dennistoun North - 03,Glasgow City,880,,7,10,8,7,10,12,7,7,1,2,4,4,3,2,5,1,5,6,13,6,13,12,18,27,29,23,22,43,35,47,23,29,27,12,19,27,17,20,8,10,12,14,15,16,4,7,10,15,9,11,10,13,13,9,5,7,6,4,7,8,6,8,2,12,3,4,9,5,6,4,1,7,2,5,3,5,1,2,3,1,2,3,3,1,1,0,2,0,2,0,1
S01010237,Dennistoun North - 04,Glasgow City,614,,6,4,1,1,3,4,3,2,6,4,0,2,2,5,0,2,2,8,6,6,3,13,11,11,13,20,17,24,35,15,18,30,16,18,17,25,11,15,9,8,11,9,7,7,1,1,9,3,3,7,6,10,5,9,5,6,9,5,9,5,11,3,8,5,2,5,3,2,3,3,4,2,1,0,0,8,3,1,8,0,1,2,1,1,2,1,1,1,5,1,3
S01010238,Dennistoun North - 05,Glasgow City,872,,10,3,7,4,8,6,7,1,5,6,5,4,8,2,2,6,6,3,8,2,10,10,13,13,19,19,59,44,47,20,17,27,33,31,28,13,19,15,9,15,10,27,10,7,10,3,2,9,3,12,12,15,9,14,11,4,9,8,4,13,1,7,4,10,6,9,2,5,5,5,4,6,2,2,3,3,2,7,4,2,5,6,2,3,1,4,2,1,0,1,2
S01010239,Alexandra Parade - 01,Glasgow City,858,,13,7,9,14,12,13,6,10,4,15,11,9,4,8,7,10,6,5,6,3,2,6,11,18,12,17,13,31,8,19,16,13,24,21,19,19,11,26,33,9,11,10,13,5,9,5,9,19,13,7,3,4,14,7,5,10,6,14,9,7,16,3,9,6,15,3,12,11,6,14,5,16,9,4,4,1,4,2,3,5,2,4,5,1,4,5,3,1,2,0,3
S01010240,Alexandra Parade - 02,Glasgow City,648,,1,8,4,0,9,7,3,4,4,0,1,1,2,4,1,0,1,3,4,7,7,7,14,15,12,18,33,18,15,35,19,9,19,18,18,19,13,11,12,7,5,3,6,6,8,4,15,8,5,9,1,10,8,12,11,2,7,7,6,6,10,3,13,8,12,8,8,2,7,8,5,7,6,1,2,4,2,1,0,1,4,3,1,1,1,2,0,1,1,0,4
S01010241,Alexandra Parade - 03,Glasgow City,1104,,8,5,15,4,0,6,7,7,3,3,1,4,4,1,4,1,2,6,5,7,6,11,9,13,19,24,37,36,39,50,20,28,26,42,28,33,29,31,13,28,14,20,17,11,16,10,11,15,11,18,9,4,8,12,15,13,5,16,15,10,9,10,8,18,11,10,6,16,9,7,8,7,9,5,5,12,6,11,10,3,9,11,7,3,1,6,3,3,2,6,8
S01010242,Carntyne West and Haghill - 01,Glasgow City,755,,6,6,10,5,9,7,7,8,3,0,7,7,4,11,4,3,0,4,3,9,7,14,13,12,16,22,26,37,33,23,23,13,25,16,33,6,12,9,9,12,7,6,7,7,11,15,14,17,6,9,27,7,11,9,3,11,10,11,7,6,10,3,6,3,5,3,6,2,2,6,3,1,2,4,4,1,1,1,1,3,2,3,0,1,0,1,1,1,1,0,3
S01010243,Carntyne West and Haghill - 02,Glasgow City,996,,10,14,5,12,14,9,8,11,10,5,9,9,1,7,12,2,3,10,10,8,8,12,20,17,19,32,42,28,36,30,33,30,27,15,27,36,30,22,19,10,16,13,18,15,14,29,21,5,5,13,6,14,4,2,12,19,9,4,13,14,9,7,4,1,2,0,3,8,5,6,5,2,4,4,0,4,2,1,4,2,1,2,2,3,0,1,3,0,2,0,1
S01010244,Carntyne West and Haghill - 03,Glasgow City,666,,6,6,8,7,9,5,10,9,4,8,1,5,3,4,6,4,5,7,5,3,8,7,7,10,23,19,16,17,20,9,13,13,17,23,10,12,3,10,4,9,14,12,12,5,3,10,9,15,9,11,8,8,9,2,8,11,9,7,5,3,10,3,5,11,8,7,7,6,5,4,8,6,6,7,3,2,0,4,4,0,1,3,2,2,4,3,5,1,0,0,4
S01010245,Carntyne West and Haghill - 04,Glasgow City,774,,11,11,13,12,9,9,6,14,11,4,14,5,5,3,10,5,3,3,7,6,5,11,8,6,10,15,11,17,21,15,23,13,10,9,9,12,2,11,15,9,11,5,11,8,11,10,4,8,5,15,14,18,10,9,15,22,20,18,19,13,10,10,14,1,4,4,6,4,1,13,3,8,2,6,7,5,5,5,5,3,2,3,2,3,5,1,0,2,0,0,1
S01010246,Carntyne West and Haghill - 05,Glasgow City,843,,6,10,6,17,8,14,18,14,16,6,15,10,7,9,5,4,5,10,9,11,7,11,12,13,16,18,34,30,20,11,20,25,17,8,8,9,18,11,9,11,12,5,8,7,9,11,18,14,17,4,5,16,13,11,10,15,6,10,10,10,10,8,10,9,2,4,4,3,1,10,8,14,2,1,2,2,0,7,6,5,1,3,1,4,4,1,0,0,0,1,1
S01010247,Carntyne West and Haghill - 06,Glasgow City,734,,7,6,5,5,3,4,8,7,3,5,7,8,5,2,4,8,7,3,6,5,9,3,5,5,10,10,12,5,13,15,3,5,10,14,6,17,4,7,8,8,14,8,2,8,8,4,4,9,11,12,7,10,9,2,15,14,13,17,16,19,12,7,20,8,10,11,11,17,21,3,19,11,14,7,7,5,6,4,7,9,8,8,6,3,3,3,5,2,3,2,3
S01010248,Dennistoun - 01,Glasgow City,869,,4,10,5,4,2,7,5,3,2,2,3,9,2,3,3,2,2,2,8,1,1,10,10,22,16,24,58,44,20,48,43,42,33,29,32,28,25,18,13,21,11,18,14,14,1,8,1,11,3,4,5,6,6,4,6,6,6,3,6,6,6,2,3,8,6,4,6,10,11,3,0,3,5,1,5,2,9,4,4,6,1,2,5,2,3,2,0,0,1,0,0
S01010249,Dennistoun - 02,Glasgow City,689,,10,1,4,2,9,0,2,4,1,3,0,0,3,0,0,1,0,4,3,22,21,30,32,26,31,32,21,14,29,24,20,15,19,13,16,18,17,19,18,12,15,6,11,5,3,4,14,5,1,3,1,10,3,5,8,5,5,6,3,8,2,4,1,3,3,2,0,0,4,5,4,3,4,2,6,4,2,5,2,3,3,3,1,1,0,1,0,0,0,0,4
S01010250,Dennistoun - 03,Glasgow City,797,,4,5,3,0,3,2,4,3,5,4,0,0,4,5,1,2,5,5,2,26,39,46,44,34,36,33,35,18,31,56,33,23,25,14,16,18,17,13,11,16,5,6,7,3,5,5,8,4,5,4,0,7,1,1,3,6,3,7,5,5,3,3,9,1,3,2,3,3,3,3,1,0,3,5,2,4,2,2,1,0,3,0,1,1,1,0,2,0,2,1,2
S01010251,Dennistoun - 04,Glasgow City,793,,4,8,4,8,1,10,5,6,6,6,2,0,6,5,4,7,2,5,11,11,22,25,53,35,24,36,47,32,30,20,36,25,20,21,19,18,16,22,14,10,14,10,8,11,5,6,6,2,6,0,3,4,8,0,4,7,4,6,11,1,8,2,3,2,5,2,3,1,0,5,0,1,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2
S01010252,Dennistoun - 05,Glasgow City,639,,10,15,7,9,9,2,11,5,6,4,0,2,3,0,5,3,1,6,2,10,12,7,14,12,9,5,27,17,20,15,22,32,24,16,26,19,14,3,17,3,11,11,12,9,5,7,12,5,7,2,2,14,13,5,1,6,5,5,7,7,3,6,4,4,5,3,2,3,3,1,1,8,1,4,1,3,0,1,0,1,3,1,0,2,0,1,3,0,1,0,4
S01010253,Dennistoun - 06,Glasgow City,627,,4,7,6,7,10,7,7,15,4,9,7,12,5,3,7,6,2,2,6,3,3,9,6,8,3,16,18,9,18,26,16,17,14,15,15,0,18,9,10,1,4,6,8,8,9,9,9,10,4,6,9,10,2,3,6,14,6,7,9,7,5,10,4,13,4,4,2,1,6,4,8,4,3,3,6,5,7,5,3,7,1,3,3,2,1,0,0,4,1,1,1
S01010254,Gallowgate North and Bellgrove - 01,Glasgow City,1053,,5,5,4,8,7,10,9,16,5,9,5,4,3,6,6,6,7,14,4,3,10,10,7,18,21,16,28,31,38,29,24,31,16,14,20,23,24,22,17,2,10,6,4,12,5,18,5,16,7,16,17,11,12,12,8,8,20,21,8,15,6,17,18,10,14,11,10,16,10,17,9,14,14,4,7,6,13,7,11,10,7,6,9,3,5,8,10,3,2,2,6
S01010255,Gallowgate North and Bellgrove - 02,Glasgow City,759,,7,3,9,12,6,5,10,5,3,11,14,14,6,8,12,13,20,10,1,8,11,12,3,13,20,16,3,6,27,28,17,17,11,20,5,6,20,9,4,14,8,5,14,15,10,12,10,16,9,18,10,13,4,7,13,8,4,8,11,7,7,3,6,12,8,7,5,3,6,3,2,4,4,2,6,4,1,4,3,2,2,2,3,6,2,2,3,1,1,0,4
S01010256,Gallowgate North and Bellgrove - 03,Glasgow City,827,,11,9,8,7,6,9,2,18,7,5,13,10,6,9,3,10,7,5,7,9,11,11,12,11,17,18,22,18,18,12,27,12,16,19,10,8,14,12,11,13,17,4,10,15,14,18,12,5,18,16,7,14,6,7,13,7,13,11,9,15,20,0,6,9,10,8,2,16,5,7,7,1,8,0,5,5,7,4,4,2,6,3,1,0,2,0,1,1,2,0,1
S01010257,Gallowgate North and Bellgrove - 04,Glasgow City,1708,,2,4,1,4,2,7,2,2,2,4,1,6,3,1,0,1,2,8,25,52,129,107,159,167,129,79,91,59,73,68,36,39,38,40,29,22,23,13,21,18,28,2,10,13,6,5,14,3,7,6,7,9,13,1,4,5,1,3,6,7,8,14,6,0,4,4,4,4,4,5,5,4,1,3,1,2,1,2,2,0,1,3,3,2,1,1,0,0,0,1,3
S01010258,Gallowgate North and Bellgrove - 05,Glasgow City,1868,,4,0,4,2,2,6,3,3,3,7,2,1,0,3,0,2,1,7,135,198,148,128,191,225,160,101,75,70,40,40,59,39,17,21,11,12,14,13,6,4,4,1,3,5,7,3,9,4,7,2,2,2,6,2,0,4,8,6,5,3,3,2,1,3,1,0,1,1,1,2,2,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,2,0,1,0,0
S01010259,City Centre East - 01,Glasgow City,1493,,7,7,7,7,9,6,9,7,9,5,2,0,1,11,3,9,8,7,144,167,101,138,107,54,47,28,15,14,32,19,16,27,14,29,12,11,11,9,7,14,8,12,5,22,11,22,6,7,12,14,9,7,13,11,8,7,12,15,9,14,6,3,7,8,4,9,4,6,3,4,10,4,4,7,4,3,8,1,9,2,4,3,3,4,2,3,3,3,2,2,4
S01010260,City Centre East - 02,Glasgow City,2685,,7,12,5,10,4,8,6,2,11,3,4,3,4,2,2,5,4,7,252,322,169,224,262,195,124,94,82,63,65,61,44,42,32,28,26,28,26,28,19,16,20,13,13,14,19,17,10,13,11,10,21,7,9,6,14,15,9,6,5,14,5,10,5,6,11,4,5,4,7,9,7,7,3,3,5,2,3,5,4,4,7,4,5,2,1,4,1,0,3,0,2
S01010261,City Centre East - 03,Glasgow City,2527,,4,4,7,6,14,6,10,12,2,2,3,3,4,7,4,2,8,31,267,457,335,178,166,129,106,88,70,41,37,41,41,27,23,11,8,11,8,8,10,6,11,1,5,13,2,9,15,15,9,4,9,12,7,8,4,13,4,7,7,8,4,0,10,8,5,4,4,7,5,0,11,6,4,10,8,12,2,6,9,6,4,10,5,5,2,2,2,4,4,2,6
S01010262,City Centre East - 04,Glasgow City,843,,8,14,10,7,11,12,6,8,6,2,5,5,0,5,4,4,0,8,7,18,19,17,20,15,5,7,40,40,31,16,16,17,20,3,6,9,4,4,11,6,4,0,6,9,5,16,4,11,8,2,5,7,13,14,10,5,9,10,10,8,22,5,15,6,13,12,7,3,12,11,3,14,7,15,13,13,10,7,5,6,1,4,9,5,4,4,3,4,4,1,3
S01010263,City Centre East - 05,Glasgow City,706,,3,4,1,2,2,5,1,2,2,1,1,2,2,0,2,0,0,2,4,10,18,22,43,45,52,46,35,42,46,31,22,19,24,8,10,9,6,11,12,7,5,11,5,4,5,7,7,13,2,4,5,0,4,1,1,4,4,6,7,8,4,2,2,4,2,5,5,2,2,2,1,3,2,0,3,1,0,1,0,1,1,2,1,0,1,1,0,1,0,0,0
S01010264,City Centre East - 06,Glasgow City,899,,5,4,1,1,4,1,4,5,1,2,0,1,2,0,0,0,0,3,6,29,39,28,45,40,42,44,25,36,37,34,43,39,30,24,22,14,14,13,10,9,5,9,7,16,8,15,7,5,8,20,6,14,13,8,6,3,9,3,5,11,3,6,5,3,1,1,1,1,3,4,4,2,2,1,1,2,2,2,1,0,2,1,6,0,0,1,2,3,2,0,2
S01010265,City Centre East - 07,Glasgow City,1100,,2,3,3,3,0,4,1,5,3,2,2,0,3,2,2,1,4,8,21,62,65,66,70,65,59,57,41,37,37,29,31,31,22,14,18,15,15,16,9,11,10,17,10,12,7,14,13,20,4,10,12,12,9,6,9,9,7,12,4,4,11,6,5,3,2,5,7,6,3,0,2,2,0,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,1
S01010266,City Centre West - 01,Glasgow City,665,,4,6,7,2,3,8,4,4,9,9,1,4,3,4,0,4,1,6,8,14,34,49,37,37,19,19,8,21,13,10,9,11,10,13,6,16,13,21,17,18,14,15,4,6,5,5,11,3,11,2,8,3,5,5,4,6,7,0,4,2,5,1,3,4,4,0,1,3,1,1,1,6,2,4,1,0,0,3,3,1,1,2,3,1,0,1,0,3,4,1,3
S01010267,City Centre West - 02,Glasgow City,1068,,6,5,3,5,3,6,3,5,1,4,1,0,1,0,2,0,1,4,13,58,128,134,101,75,46,67,68,44,38,36,47,39,19,15,7,5,4,4,3,0,1,4,6,1,6,2,0,3,5,3,6,2,3,0,2,2,3,4,1,0,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
S01010268,City Centre West - 03,Glasgow City,828,,3,2,6,7,4,3,6,1,1,3,5,1,9,3,5,3,3,2,22,53,62,46,24,28,30,15,23,16,26,24,26,22,21,14,10,15,13,9,14,17,10,7,15,9,7,9,6,7,9,9,9,13,7,2,4,13,9,12,6,7,3,0,6,4,1,0,1,0,0,6,1,2,1,4,0,1,4,1,4,2,2,3,5,0,3,2,1,0,0,0,4
S01010269,City Centre West - 04,Glasgow City,615,,4,5,10,2,4,5,3,9,3,2,3,0,4,1,0,0,1,9,3,21,20,36,20,30,36,37,27,33,22,16,8,11,7,21,12,8,9,10,4,16,10,12,6,4,1,4,6,6,4,4,4,4,0,1,2,4,7,1,6,8,5,2,7,4,3,3,3,0,3,2,1,0,1,1,2,2,0,2,1,1,2,0,1,0,0,0,1,0,0,1,1
S01010270,City Centre West - 05,Glasgow City,1375,,9,16,14,15,6,7,8,14,7,4,9,2,1,5,3,2,9,5,14,25,20,22,33,27,33,32,31,47,28,59,33,32,36,23,24,40,34,22,18,9,14,8,9,14,14,11,12,15,12,16,4,11,19,17,15,13,21,17,12,15,27,18,23,20,16,11,4,14,20,13,12,13,19,9,9,6,7,8,7,10,8,7,9,8,2,2,4,6,4,3,9
S01010271,City Centre West - 06,Glasgow City,893,,4,2,5,4,4,3,7,6,3,3,8,2,4,3,5,2,1,5,9,63,102,75,51,48,43,18,25,30,20,27,19,15,14,20,13,12,10,6,9,3,4,10,8,2,4,10,2,7,3,3,4,3,6,4,8,4,1,2,7,6,3,10,6,1,3,2,4,3,2,5,4,3,5,3,6,3,1,2,3,1,3,1,0,3,1,4,1,2,4,2,1
S01010272,City Centre South - 01,Glasgow City,1344,,14,20,14,16,17,9,12,6,7,10,7,11,5,4,1,8,5,9,3,7,4,10,19,22,19,19,52,47,36,81,43,38,37,35,47,47,39,33,20,24,30,15,19,27,14,26,6,18,12,13,15,14,15,13,20,22,19,9,15,6,17,10,9,10,4,12,9,7,2,4,11,10,2,5,4,3,6,4,3,4,6,0,1,3,0,0,3,1,4,1,4
S01010273,City Centre South - 02,Glasgow City,820,,6,5,3,7,4,5,3,5,8,1,2,0,1,1,1,1,0,5,17,39,37,66,43,35,41,51,51,41,25,27,32,21,14,13,18,13,17,4,9,10,12,10,8,9,7,7,9,2,4,7,9,1,6,6,7,0,5,1,3,4,4,1,2,1,1,0,1,1,0,0,0,1,2,0,1,0,0,0,1,0,0,3,1,0,0,0,0,1,0,0,0
S01010274,City Centre South - 03,Glasgow City,695,,4,6,7,1,5,4,7,1,1,2,1,1,1,3,1,1,0,2,5,13,36,30,42,43,40,41,44,22,33,18,24,25,15,18,17,9,8,7,4,5,3,12,8,9,5,3,2,5,3,2,4,14,2,3,0,7,7,6,6,2,5,3,2,5,2,1,2,4,3,2,1,0,0,1,0,0,0,2,4,3,1,1,0,0,0,0,0,1,1,0,1
S01010275,City Centre South - 04,Glasgow City,981,,2,5,5,7,4,0,4,2,1,3,0,1,2,1,0,2,0,3,22,31,46,77,85,70,49,44,42,65,43,29,17,27,22,28,22,14,14,12,11,17,12,6,5,9,0,9,8,7,10,3,12,4,4,4,5,0,2,5,3,2,1,9,1,3,6,2,2,3,4,2,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,3
S01010276,Anderston - 01,Glasgow City,1270,,15,18,8,14,13,13,14,6,4,12,8,5,7,9,5,6,0,3,2,0,6,5,13,15,36,27,46,33,47,51,75,72,44,28,41,25,50,58,27,28,8,25,18,14,18,13,18,16,15,10,14,16,10,11,17,18,13,12,5,9,8,1,5,12,6,5,13,7,4,8,5,7,2,2,1,2,1,0,1,3,0,0,3,2,2,1,0,0,0,0,0
S01010277,Anderston - 02,Glasgow City,737,,6,9,6,13,6,11,7,10,11,7,5,6,3,9,7,4,7,3,2,14,6,6,6,11,8,18,13,19,18,27,39,15,18,6,10,10,16,11,10,9,7,10,6,13,5,5,9,7,9,12,7,2,8,4,9,13,11,10,9,12,7,9,3,8,3,6,5,6,7,7,8,11,5,5,5,5,7,3,1,4,2,2,7,7,5,0,1,1,2,0,5
S01010278,Anderston - 03,Glasgow City,606,,7,8,8,7,10,7,5,4,8,0,2,5,6,7,9,2,3,8,4,2,5,5,2,15,11,16,17,22,20,19,5,16,12,25,8,3,20,25,16,8,7,2,1,13,5,9,5,3,8,10,10,8,1,7,5,15,2,7,3,9,10,3,3,4,1,5,3,4,4,8,3,5,2,2,3,4,1,2,3,7,2,1,0,4,3,1,0,0,2,0,4
S01010279,Anderston - 04,Glasgow City,704,,6,5,5,6,9,7,4,9,7,3,6,8,7,2,1,7,0,4,7,14,24,34,32,35,27,20,21,13,22,18,17,20,15,8,9,11,10,9,11,6,9,12,10,8,6,5,13,9,4,9,8,8,9,6,10,9,4,3,9,7,6,1,9,1,4,3,3,0,4,3,9,5,0,2,0,6,0,0,0,5,1,2,2,0,0,1,0,0,0,0,0
S01010280,Anderston - 05,Glasgow City,1000,,7,6,4,9,8,2,5,4,7,4,4,3,7,1,4,5,5,5,5,26,36,43,38,36,47,39,33,47,44,34,27,21,16,20,21,27,30,28,28,18,27,21,7,22,4,11,12,11,2,8,8,6,4,5,2,6,8,15,1,6,8,5,2,0,1,4,1,5,5,2,3,4,2,1,1,1,2,3,2,2,2,0,1,1,1,0,0,0,0,0,1
S01010281,Anderston - 06,Glasgow City,1003,,7,10,3,9,7,15,8,8,2,6,2,9,1,5,0,5,1,5,8,25,30,36,38,47,42,37,58,44,47,39,32,21,21,24,12,24,23,24,19,22,18,22,20,14,7,6,10,6,7,8,9,6,4,1,9,11,1,2,2,2,1,3,5,6,6,6,2,11,0,3,0,4,1,1,1,2,0,1,1,0,0,0,0,1,1,0,2,1,1,0,2
S01010282,Finnieston and Kelvinhaugh - 01,Glasgow City,1063,,6,6,7,3,0,7,4,6,1,4,2,1,5,2,3,3,4,4,2,7,23,16,36,58,48,43,54,42,32,50,45,26,24,44,20,17,15,20,12,14,15,3,6,5,16,10,9,9,9,4,13,20,18,23,12,4,11,9,10,7,6,17,9,5,4,5,6,7,2,6,3,10,1,4,4,2,9,4,3,1,0,8,2,6,3,2,0,1,2,1,1
S01010283,Finnieston and Kelvinhaugh - 02,Glasgow City,788,,9,10,5,4,15,0,10,5,1,6,4,2,2,2,5,2,3,4,3,7,25,33,31,28,48,39,35,45,32,36,28,20,21,15,24,9,12,12,8,8,5,2,11,5,4,9,7,3,11,10,3,9,6,6,9,6,5,9,8,5,2,5,4,3,4,3,2,0,4,3,2,1,1,1,0,1,0,1,1,2,1,1,0,0,1,1,0,0,2,1,0
S01010284,Finnieston and Kelvinhaugh - 03,Glasgow City,2646,,5,2,9,1,4,3,2,4,5,1,0,0,0,1,0,0,2,8,11,39,61,99,222,352,248,239,152,117,105,81,86,79,63,63,71,58,53,43,51,37,20,7,22,10,9,3,11,11,4,15,7,6,12,9,12,8,1,12,3,8,4,3,7,3,6,7,9,1,4,1,6,1,2,1,2,3,3,2,1,4,2,1,1,1,0,0,1,1,1,0,1
S01010285,Finnieston and Kelvinhaugh - 04,Glasgow City,747,,6,3,3,4,2,3,9,5,2,5,5,6,7,6,5,8,4,2,4,21,26,39,48,51,31,11,14,20,11,23,19,12,11,13,17,10,12,12,10,7,12,10,10,7,11,10,10,12,11,14,2,6,10,5,6,7,6,7,5,7,7,6,4,2,2,6,3,2,1,0,5,5,4,0,6,2,1,0,2,1,2,1,0,2,1,0,2,0,0,1,4
S01010286,Finnieston and Kelvinhaugh - 05,Glasgow City,2709,,8,7,6,6,8,2,2,11,4,10,5,4,0,0,1,4,3,16,87,206,242,243,244,362,246,153,91,96,84,60,57,54,38,29,34,24,22,16,13,12,0,8,5,13,9,16,12,12,3,10,6,10,3,8,0,3,9,5,4,8,0,2,6,7,1,0,10,0,1,5,2,4,1,1,0,0,1,0,0,3,1,1,2,3,1,0,2,0,0,0,1
S01010287,Finnieston and Kelvinhaugh - 06,Glasgow City,868,,4,7,4,4,9,6,6,6,0,7,2,2,3,0,2,2,1,3,3,19,74,41,79,73,38,25,33,24,26,17,17,22,14,14,12,14,12,17,17,9,6,10,16,10,13,9,12,3,7,1,8,0,3,6,7,12,3,7,4,3,4,6,4,5,1,2,3,1,2,2,0,1,5,2,2,1,2,1,0,2,3,2,1,2,0,2,1,0,2,0,1
S01010288,Finnieston and Kelvinhaugh - 07,Glasgow City,1224,,8,10,10,3,5,1,4,2,9,6,5,2,2,4,3,5,3,9,8,48,86,97,89,88,48,56,54,41,35,29,24,20,29,23,24,12,15,9,8,15,14,3,11,13,17,12,12,12,19,12,8,8,12,10,6,7,7,5,6,5,10,7,4,4,10,5,6,4,3,0,4,2,4,0,0,3,0,3,1,0,1,0,1,0,0,0,0,1,1,1,1
S01010289,Woodlands - 01,Glasgow City,1022,,16,7,13,13,4,10,9,11,2,6,6,9,2,7,1,3,5,5,6,4,14,13,21,14,10,28,29,25,30,37,22,23,20,30,32,20,6,17,11,28,15,16,24,21,14,14,6,18,31,17,20,12,19,20,25,21,24,16,11,9,4,11,14,7,1,10,6,10,6,7,4,6,0,2,4,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,1
