"Table 1a: Estimated population by sex, single year of age and 2011 Data Zone area, and council area: 30 June 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area code,Area name,Council area,All ages,,,PERSONS,,,,,,,,,,,,PERSONS,,,,,,,,,,,,,PERSONS,,,,,,,,,,,,PERSONS,,,,,,,,,,,,PERSONS,,,,,,,,,,,,PERSONS,,,,,,,,,,,,PERSONS,,,,,,,,,,,,,,,,
,,,,,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90+
S01006533,"Braeside, Mannofield, Broomhill and Seafield East - 02",Aberdeen City,718,,15,6,14,10,7,6,5,11,14,13,3,9,2,6,7,6,2,3,5,4,6,8,9,3,6,11,8,9,6,8,17,16,3,13,7,8,6,9,10,10,9,17,11,14,15,9,19,7,3,7,8,12,16,10,13,5,17,11,8,9,9,16,16,6,10,9,1,6,10,6,5,0,4,7,6,6,8,2,4,8,2,6,2,3,1,4,1,7,2,2,8
S01006534,"Braeside, Mannofield, Broomhill and Seafield East - 03",Aberdeen City,981,,9,9,12,5,10,4,13,6,10,18,18,10,20,13,16,15,8,14,8,6,7,15,4,4,2,9,12,7,17,19,13,24,14,13,10,13,20,9,13,15,14,11,19,13,13,13,14,17,20,24,9,10,16,22,15,15,16,11,9,22,17,11,10,9,9,8,12,11,10,14,10,13,5,7,2,9,7,3,4,8,3,6,2,6,4,2,7,4,1,0,0
S01006535,"Braeside, Mannofield, Broomhill and Seafield East - 04",Aberdeen City,985,,8,11,5,4,2,7,4,16,8,9,4,14,10,6,3,8,4,6,3,5,12,10,19,17,13,19,24,28,24,21,29,32,31,28,19,23,26,23,16,15,11,23,17,14,14,13,13,19,12,19,7,18,3,5,14,11,11,6,11,7,11,12,9,16,7,12,8,5,8,3,11,6,7,1,4,5,5,4,4,2,2,2,8,4,4,3,2,0,0,0,6
S01006536,"Braeside, Mannofield, Broomhill and Seafield East - 05",Aberdeen City,978,,9,1,4,6,3,7,10,10,0,5,1,5,4,2,9,1,5,4,3,3,6,7,5,12,17,19,27,36,40,34,35,39,23,61,28,36,38,27,23,20,15,5,7,10,10,15,4,8,18,18,9,10,13,5,15,11,15,9,5,11,0,13,12,6,8,1,3,5,4,7,10,9,6,4,7,2,6,3,3,5,4,5,2,2,0,0,6,0,1,0,6
S01006537,"Braeside, Mannofield, Broomhill and Seafield South - 01",Aberdeen City,926,,8,16,8,12,8,6,3,10,15,8,10,6,11,8,4,5,10,9,5,7,4,4,8,8,4,9,11,7,10,7,18,6,10,14,13,11,7,9,15,17,11,12,11,5,6,10,16,16,15,22,5,5,8,14,15,12,14,13,15,12,9,14,15,7,8,9,11,8,6,13,14,8,14,10,8,11,16,9,11,8,14,9,13,8,8,8,17,6,5,10,21
S01006538,"Braeside, Mannofield, Broomhill and Seafield South - 02",Aberdeen City,543,,1,4,7,4,4,12,7,8,9,5,2,4,7,3,6,6,3,10,4,1,1,2,4,2,3,9,11,7,7,2,12,2,9,3,4,4,4,8,3,2,16,5,10,6,9,5,12,6,7,5,5,7,10,8,14,12,6,8,10,5,13,4,9,9,12,8,2,6,6,6,6,10,11,5,8,3,5,1,3,4,4,3,4,3,7,5,4,4,1,1,4
S01006539,"Braeside, Mannofield, Broomhill and Seafield South - 03",Aberdeen City,767,,7,9,4,3,12,9,8,11,10,6,8,6,9,6,4,4,8,4,5,7,5,1,9,6,4,4,6,12,7,6,12,10,15,12,14,9,15,10,11,12,7,12,10,13,13,6,15,11,15,6,5,12,9,7,7,5,9,9,9,13,14,15,11,6,7,7,8,7,6,10,15,12,3,9,8,8,5,6,5,10,3,1,2,6,11,9,6,2,6,5,31
S01006540,"Braeside, Mannofield, Broomhill and Seafield South - 04",Aberdeen City,908,,6,11,10,7,10,5,8,14,8,6,6,11,7,4,3,5,7,6,7,2,3,9,9,7,10,9,12,15,16,19,22,21,22,17,25,10,11,11,10,12,13,14,20,15,13,18,8,18,15,10,11,14,6,7,23,12,9,10,15,17,14,8,8,8,12,18,13,8,6,5,10,12,7,2,5,6,11,6,3,4,5,6,4,5,5,3,8,4,8,2,11
S01006541,"Braeside, Mannofield, Broomhill and Seafield South - 05",Aberdeen City,846,,6,8,10,11,8,8,8,15,13,10,10,4,9,7,5,4,6,7,5,4,2,8,3,5,8,6,7,10,4,9,8,7,9,11,14,6,23,16,10,8,5,12,18,19,10,17,11,14,6,6,6,9,18,11,12,10,9,7,12,14,9,7,14,2,16,12,7,9,7,13,11,10,4,10,6,9,9,8,12,5,7,8,13,6,6,9,9,4,6,7,33
S01006542,"Braeside, Mannofield, Broomhill and Seafield North - 01",Aberdeen City,"1,165",,13,10,19,7,12,15,15,12,7,16,8,5,8,9,17,5,11,11,8,6,3,5,7,14,3,7,13,10,10,19,10,16,17,12,14,21,12,17,23,12,10,20,17,12,16,22,15,12,21,21,24,17,14,27,13,12,19,23,19,6,15,16,7,16,12,8,22,13,13,12,20,10,14,11,12,7,10,13,15,18,10,20,9,7,8,18,9,5,8,3,5
